id,email,regno,from,to,status
1,kishorelaxman2001@gmail.com,TN 45 SA 2345,2-11-2020,17-11-2020,available
2,kishorelaxman2001@gmail.com,TN 45 SA 2345,1-11-2020,14-11-2020,available
3,kishorelaxman2001@gmail.com,TN 45 SA 2345,20-11-2020,20-12-2020,available
4,kishorelaxman2001@gmail.com,TN 45 SA 2345,20-11-2020,1-1-2021,available
5,kishorelaxman2001@gmail.com,TN 45 SA 2345,26-11-2020,1-1-2021,available
6,a@gmail.com,TN 45 SA 2345,26-11-2020,30-11-2020,available
7,kishorelaxman2001@gmail.com,TN 67 SD 1234,30-11-2020,31-12-2020,cancelled
8,kishorelaxman2001@gmail.com,TN 45 SA 2345,30-12-2020,2-1-2021,available
9,kishorelaxman2001@gmail.com,TN 45 JH 0987,21-11-2020,22-11-2020,available
10,kishorelaxman2001@gmail.com,TN 01 AA 1000,21-11-2020,30-11-2020,available
11,kishorelaxman2001@gmail.com,TN 67 SD 1234,21-11-2020,30-11-2020,available
12,kishorelaxman2001@gmail.com,TN 96 FS 4567,21-11-2020,23-11-2020,available
13,kishorelaxman2001@gmail.com,TN 01 AA 1000,1-12-2020,31-12-2020,booked
14,kishorelaxman2001@gmail.com,TN 01 AA 1000,1-2-2021,4-2-2021,booked
15,kishorelaxman2001@gmail.com,TN 01 AA 1000,7-2-2021,15-2-2021,booked
16,kishorelaxman2001@gmail.com,TN 34 GH 3467,21-11-2020,23-11-2020,available
17,kishorelaxman2001@gmail.com,TN 67 SD 1234,1-2-2021,1-3-2021,booked
18,kishorelaxman2001@gmail.com,TN 01 AA 1000,1-4-2024,2-4-2024,booked
19,a@gmail.com,TN 45 SA 2345,21-8-2020,22-9-2020,available
20,a@gmail.com,TN 01 AA 1000,1-1-2022,2-1-2022,booked
21,a@gmail.com,TN 34 GH 3467,30-11-2020,1-12-2020,cancelled
